date,e5,e10,disel
30-05-16 23:04:00,1319,0,1099
30-05-16 23:08:00,1319,0,1099
30-05-16 23:12:00,1319,0,1099
30-05-16 23:16:00,1319,0,1099
30-05-16 23:20:00,1319,0,1099
30-05-16 23:24:00,1319,0,1099
30-05-16 23:28:00,1319,0,1099
30-05-16 23:32:00,1319,0,1099
30-05-16 23:36:00,1319,0,1099
30-05-16 23:40:00,1319,0,1099
30-05-16 23:44:00,1319,0,1099
30-05-16 23:48:00,1319,0,1099
30-05-16 23:52:00,1319,0,1099
30-05-16 23:56:00,1319,0,1099
31-05-16 0:00:00,1319,0,1099
31-05-16 0:04:00,1319,0,1099
31-05-16 0:08:00,1319,0,1099
31-05-16 0:12:00,1319,0,1099
31-05-16 0:16:00,1319,0,1099
31-05-16 0:20:00,1319,0,1099
31-05-16 0:24:00,1319,0,1099
31-05-16 0:28:00,1319,0,1099
31-05-16 0:32:00,1319,0,1099
31-05-16 0:36:00,1319,0,1099
31-05-16 0:40:00,1319,0,1099
31-05-16 0:44:00,1319,0,1099
31-05-16 0:48:00,1319,0,1099
31-05-16 0:52:00,1319,0,1099
31-05-16 0:56:00,1319,0,1099
31-05-16 1:00:00,1319,0,1099
31-05-16 1:04:00,1319,0,1099
31-05-16 1:08:00,1319,0,1099
31-05-16 1:12:00,1319,0,1099
31-05-16 1:16:00,1319,0,1099
31-05-16 1:20:00,1319,0,1099
31-05-16 1:24:00,1319,0,1099
31-05-16 1:28:00,1319,0,1099
31-05-16 1:32:00,1319,0,1099
31-05-16 1:36:00,1319,0,1099
31-05-16 1:40:00,1319,0,1099
31-05-16 1:44:00,1319,0,1099
31-05-16 1:48:00,1319,0,1099
31-05-16 1:52:00,1319,0,1099
31-05-16 1:56:00,1319,0,1099
31-05-16 2:00:00,1319,0,1099
31-05-16 2:04:00,1319,0,1099
31-05-16 2:08:00,1319,0,1099
31-05-16 2:12:00,1319,0,1099
31-05-16 2:16:00,1319,0,1099
31-05-16 2:20:00,1319,0,1099
31-05-16 2:24:00,1319,0,1099
31-05-16 2:28:00,1319,0,1099
31-05-16 2:32:00,1319,0,1099
31-05-16 2:36:00,1319,0,1099
31-05-16 2:40:00,1319,0,1099
31-05-16 2:44:00,1319,0,1099
31-05-16 2:48:00,1319,0,1099
31-05-16 2:52:00,1319,0,1099
31-05-16 2:56:00,1319,0,1099
31-05-16 3:00:00,1319,0,1099
31-05-16 3:04:00,1319,0,1099
31-05-16 3:08:00,1319,0,1099
31-05-16 3:12:00,1319,0,1099
31-05-16 3:16:00,1319,0,1099
31-05-16 3:20:00,1319,0,1099
31-05-16 3:24:00,1319,0,1099
31-05-16 3:28:00,1319,0,1099
31-05-16 3:32:00,1319,0,1099
31-05-16 3:36:00,1319,0,1099
31-05-16 3:40:00,1319,0,1099
31-05-16 3:44:00,1319,0,1099
31-05-16 3:48:00,1319,0,1099
31-05-16 3:52:00,1319,0,1099
31-05-16 3:56:00,1319,0,1099
31-05-16 4:00:00,1319,0,1099
31-05-16 4:04:00,1319,0,1099
31-05-16 4:08:00,1319,0,1099
31-05-16 4:12:00,1319,0,1099
31-05-16 4:16:00,1319,0,1099
31-05-16 4:20:00,1319,0,1099
31-05-16 4:24:00,1319,0,1099
31-05-16 4:28:00,1319,0,1099
31-05-16 4:32:00,1319,0,1099
31-05-16 4:36:00,1319,0,1099
31-05-16 4:40:00,1319,0,1099
31-05-16 4:44:00,1319,0,1099
31-05-16 4:48:00,1319,0,1099
31-05-16 4:52:00,1319,0,1099
31-05-16 4:56:00,1319,0,1099
31-05-16 5:00:00,1319,0,1099
31-05-16 5:04:00,1319,0,1099
31-05-16 5:08:00,1319,0,1099
31-05-16 5:12:00,1319,0,1099
31-05-16 5:16:00,1319,0,1099
31-05-16 5:20:00,1319,0,1099
31-05-16 5:24:00,1319,0,1099
31-05-16 5:28:00,1319,0,1099
31-05-16 5:32:00,1319,0,1099
31-05-16 5:36:00,1319,0,1099
31-05-16 5:40:00,1319,0,1099
31-05-16 5:44:00,1319,0,1099
31-05-16 5:48:00,1319,0,1099
31-05-16 5:52:00,1319,0,1099
31-05-16 5:56:00,1319,0,1099
31-05-16 6:00:00,1319,0,1099
31-05-16 6:04:00,1319,0,1099
31-05-16 6:08:00,1319,0,1099
31-05-16 6:12:00,1319,0,1099
31-05-16 6:16:00,1319,0,1099
31-05-16 6:20:00,1319,0,1099
31-05-16 6:24:00,1319,0,1099
31-05-16 6:28:00,1319,0,1099
31-05-16 6:32:00,1319,0,1099
31-05-16 6:36:00,1319,0,1099
31-05-16 6:40:00,1319,0,1099
31-05-16 6:44:00,1319,0,1099
31-05-16 6:48:00,1319,0,1099
31-05-16 6:52:00,1319,0,1099
31-05-16 6:56:00,1319,0,1099
31-05-16 7:00:00,1319,0,1099
31-05-16 7:04:00,1319,0,1099
31-05-16 7:08:00,1319,0,1099
31-05-16 7:12:00,1319,0,1099
31-05-16 7:16:00,1319,0,1099
31-05-16 7:20:00,1319,0,1099
